"DisplayName","DisplayVersion","Publisher","InstallDate"
"Microsoft.Windows.ParentalControls","1000.25128.1000.0","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.Windows.PeopleExperienceHost","10.0.26100.1","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.Windows.Photos","2026.11020.20001.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.Windows.PinningConfirmationDialog","1000.25140.1001.0","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.Windows.PrintQueueActionCenter","1.0.2.0","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.Windows.ShellExperienceHost","10.0.26100.8115","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.Windows.StartMenuExperienceHost","10.0.26100.4768","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.Windows.XGpuEjectDialog","10.0.26100.1","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.WindowsAlarms","11.2512.0.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.WindowsAppRuntime.1.1","1005.616.1651.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.WindowsAppRuntime.1.1","1005.616.1651.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.WindowsAppRuntime.1.2","2000.802.31.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.WindowsAppRuntime.1.2","2000.802.31.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.WindowsAppRuntime.1.3","3000.934.1904.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.WindowsAppRuntime.1.3","3000.934.1904.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.WindowsAppRuntime.1.4","4000.1309.2056.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.WindowsAppRuntime.1.4","4000.1309.2056.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.WindowsAppRuntime.1.5","5001.373.1736.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.WindowsAppRuntime.1.5","5001.373.1736.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.WindowsAppRuntime.1.6","6000.519.329.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.WindowsAppRuntime.1.6","6000.519.329.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.WindowsAppRuntime.1.7","7000.785.2325.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.WindowsAppRuntime.1.7","7000.785.2325.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.WindowsAppRuntime.1.8","8000.731.1532.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.WindowsAppRuntime.1.8","8000.806.2252.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.WindowsAppRuntime.1.8","8000.859.21.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.WindowsAppRuntime.1.8","8000.859.21.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.WindowsAppRuntime.1.8","8000.770.947.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.WindowsAppRuntime.1.8","8000.836.2153.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.WindowsAppRuntime.2","2.0.1.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.WindowsAppRuntime.2","2.0.1.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.WindowsAppRuntime.CBS.1.6","6000.792.720.100","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.WindowsAppRuntime.CBS.1.8","8000.800.1936.100","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.WindowsCalculator","11.2508.4.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.WindowsCamera","2025.2510.2.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"microsoft.windowscommunicationsapps","16005.14326.22342.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.WindowsFeedbackHub","1.2603.26301.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.WindowsNotepad","11.2512.29.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.WindowsSoundRecorder","11.2512.0.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.WindowsStore","22604.1401.5.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.WindowsTerminal","1.24.11321.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.Winget.Source","2026.504.1236.44","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.Xbox.TCUI","1.24.10001.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.XboxGameCallableUI","1000.25128.1000.0","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.XboxGameOverlay","1.54.4001.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.XboxGamingOverlay","7.326.5041.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.XboxIdentityProvider","12.130.16001.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.XboxSpeechToTextOverlay","1.97.17002.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.YourPhone","1.26032.102.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.ZuneMusic","11.2603.12.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.ZuneVideo","10.25121.10051.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"MicrosoftCorporationII.MicrosoftFamily","0.2.40.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"MicrosoftCorporationII.QuickAssist","2.0.47.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"MicrosoftCorporationII.WinAppRuntime.Main.1.5","5001.373.1736.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"MicrosoftCorporationII.WinAppRuntime.Main.1.8","8000.836.2153.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"MicrosoftCorporationII.WinAppRuntime.Singleton","8002.0.1.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"MicrosoftCorporationII.WindowsSubsystemForLinux","2.6.3.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"MicrosoftWindows.60719890.Voiess","1000.26100.8328.0","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"MicrosoftWindows.60719895.Livtop","1000.26100.8328.0","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"MicrosoftWindows.60719896.Speion","1000.26100.8328.0","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"MicrosoftWindows.60719898.InpApp","1000.26100.8328.0","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"MicrosoftWindows.Client.CBS","1000.26100.304.0","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"MicrosoftWindows.Client.Core","1000.26100.88.0","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"MicrosoftWindows.Client.CoreAI","1000.26100.8457.0","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"MicrosoftWindows.Client.FileExp","1000.26100.6.0","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"MicrosoftWindows.Client.OOBE","1000.26100.40.0","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"MicrosoftWindows.Client.Photon","1000.26100.10.0","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"MicrosoftWindows.Client.WebExperience","526.1202.40.0","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"MicrosoftWindows.CrossDevice","1.26032.83.0","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"MicrosoftWindows.NarratorScript.Excel","1.0.14.0","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"MicrosoftWindows.UndockedDevKit","10.0.26100.1","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"MiKTeX","25.12","MiKTeX.org",
"MobiSystems.PDFExtra-EditViewFillSignConvertPDFs","9.70.57653.0","CN=62F4B8BB-C29C-4E3A-8C5A-C359F54FE9F5",
"Monosnap","5.1.13","Monosnap Inc.","20240923"
"Movavi Screen Recorder 22","22.5.1","Movavi","202293"
"MSTeams","26106.1906.4665.7308","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Node.js","24.11.1","Node.js Foundation","20251204"
"Notepad++ (64-bit x64)","8.8.8","Notepad++ Team",
"NotepadPlusPlus","1.0.0.0","E=don.h@free.fr, CN=""NOTEPAD++"", O=""NOTEPAD++"", L=Paris, S=Île-de-France, C=FR",
"NVIDIA Ansel","388.73","NVIDIA Corporation","20181015"
"NVIDIA Display Container","1.2","NVIDIA Corporation","20250716"
"NVIDIA Display Container LS","1.2","NVIDIA Corporation","20250716"
"NVIDIA Display Session Container","1.2","NVIDIA Corporation","20250716"
"NVIDIA Display Watchdog Plugin","1.2","NVIDIA Corporation","20250716"
"NVIDIA Install Application","2.1002.275.2323","NVIDIA Corporation","20250716"
"NVIDIA Optimus Update 31.1.10.0","31.1.10.0","NVIDIA Corporation","20190809"
"NVIDIA Telemetry Client","8.0.16.0","NVIDIA Corporation","20190809"
"NVIDIA Telemetry Container","8.0.16.0","NVIDIA Corporation","20190809"
"NVIDIA Update Core","31.1.10.0","NVIDIA Corporation","20190809"
"NVIDIA Системное программное обеспечение PhysX 9.17.0524","9.17.0524","NVIDIA Corporation","20180712"
"NVIDIACorp.NVIDIAControlPanel","8.1.969.0","CN=D6816951-877F-493B-B4EE-41AB9419C326",
"Obsidian","1.10.3","Obsidian",
"Office 16 Click-to-Run Extensibility Component","16.0.14332.20565","Microsoft Corporation","20230925"
"Office 16 Click-to-Run Licensing Component","16.0.14332.20565","Microsoft Corporation","20230925"
"Office 16 Click-to-Run Localization Component","16.0.14332.20546","Microsoft Corporation","20230925"
"Office Tab EnterPrise","9.81","Detong Technology Ltd.","20180718"
"Ollama version 0.24.0","0.24.0","Ollama","20260515"
"Opera Air Stable 130.0.5847.68","130.0.5847.68","Opera Software",
"Opera Stable 131.0.5877.55","131.0.5877.55","Opera Software",
"Postman x64 12.1.4","12.1.4","Postman","20260504"
"PowerShell 7-x64","7.5.5.0","Microsoft Corporation","20260326"
"PowerToys (Preview)","0.96.0","Microsoft Corporation","20251123"
"PowerToys (Preview) x64","0.96.0","Microsoft Corporation","20251123"
"SoundcloudLtd.SoundCloudforWindowsBeta","2.0.0.0","CN=C1719774-1FAA-4D3D-BAB1-E37AE4033073",
"SPDS Extension for AutoCAD® 2015-2016","4.1.0","Autodesk, Inc.","20191203"
"Spyder 6","6.1.3","Spyder-IDE",
"SQL Server 2017 Batch Parser","14.0.1000.169","Microsoft Corporation","20251204"
"SQL Server 2017 Common Files","14.0.1000.169","Microsoft Corporation","20251204"
"SQL Server 2017 Common Files","14.0.1000.169","Microsoft Corporation","20260513"
"SQL Server 2017 Connection Info","14.0.1000.169","Microsoft Corporation","20251204"
"SQL Server 2017 Connection Info","14.0.1000.169","Microsoft Corporation","20251204"
"SQL Server 2017 Database Engine Services","14.0.1000.169","Microsoft Corporation","20260513"
"SQL Server 2017 Database Engine Services","14.0.1000.169","Microsoft Corporation","20251204"
"SQL Server 2017 Database Engine Shared","14.0.1000.169","Microsoft Corporation","20251204"
"SQL Server 2017 Database Engine Shared","14.0.1000.169","Microsoft Corporation","20260513"
"SQL Server 2017 DMF","14.0.1000.169","Microsoft Corporation","20251204"
"SQL Server 2017 DMF","14.0.1000.169","Microsoft Corporation","20251204"
"SQL Server 2017 Shared Management Objects","14.0.1000.169","Microsoft Corporation","20251204"
"SQL Server 2017 Shared Management Objects","14.0.1000.169","Microsoft Corporation","20251204"
"SQL Server 2017 Shared Management Objects Extensions","14.0.1000.169","Microsoft Corporation","20251204"
"SQL Server 2017 Shared Management Objects Extensions","14.0.1000.169","Microsoft Corporation","20251204"
"SQL Server 2017 SQL Diagnostics","14.0.1000.169","Microsoft Corporation","20251204"
"SQL Server 2017 XEvent","14.0.1000.169","Microsoft Corporation","20251204"
"SQL Server 2017 XEvent","14.0.1000.169","Microsoft Corporation","20251204"
"Tableau Public 2021.1 (20211.21.0511.0935)","21.1.1776","Tableau Software","20210610"
"Telegram Desktop","6.8.2","Telegram FZ-LLC","20260515"
"TeraCopy","3.17","Code Sector","20260110"
"vs_communityx64msi","18.0.11121","Microsoft Corporation","20251124"
"vs_devenx64vmsi","18.0.11101","Microsoft Corporation","20251124"
"vs_minshellinteropx64msi","18.0.11101","Microsoft Corporation","20251124"
"vs_minshellx64msi","18.0.11101","Microsoft Corporation","20251124"
"Vulkan Run Time Libraries 1.0.54.1","1.0.54.1","LunarG, Inc.",
"Vulkan Run Time Libraries 1.0.54.1","1.0.54.1","LunarG, Inc.",
"Vulkan Run Time Libraries 1.0.61.0","1.0.61.0","LunarG, Inc.",
"Vulkan Run Time Libraries 1.0.61.0","1.0.61.0","LunarG, Inc.",
"WhatsApp","2.2310.5","WhatsApp","20230322"
"Windows Subsystem for Linux","2.6.3.0","Microsoft Corporation","20260503"
"Windows.CBSPreview","10.0.19580.1000","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"windows.immersivecontrolpanel","10.0.8.1000","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Windows.PrintDialog","6.2.3.0","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"WinRAR 5.80 (64-разрядная)","5.80.0","win.rar GmbH",
"www.youtube.com-54E21B02","1.0.0.2","CN=www.youtube.com, OID.2.25.311729368913984317654407730594956997722=1",
"Yandex","26.3.5.782","Yandex","20180718"
"Zoom Workplace","6.7.8 (32670)","Zoom Communications, Inc.",
"Кнопка ""Яндекс"" на панели задач","2.2.0.53","Яндекс",
"КОМПАС-3D v17.1 x64","17.1.12","АСКОН","20190112"
"Панель управления NVIDIA 388.73","388.73","NVIDIA Corporation","20250716"
"Поддержка iPod","12.11.3.7","Apple Inc.","20210805"
"Проверка работоспособности ПК Windows","3.2.2110.14001","Microsoft Corporation","20211101"
"Процесс GDR 2095 для SQL Server 2017 (KB5068403) (64-bit)","14.0.2095.1","Корпорация Майкрософт","20251207"
"Процесс GDR 2100 для SQL Server 2017 (KB5077472) (64-bit)","14.0.2100.4","Корпорация Майкрософт","20260311"
"Процесс GDR 2105 для SQL Server 2017 (KB5084819) (64-bit)","14.0.2105.1","Корпорация Майкрософт","20260414"
"Процесс GDR 2110 для SQL Server 2017 (KB5090347) (64-bit)","14.0.2110.2","Корпорация Майкрософт","20260513"
"Яндекс Телемост","2.31.9.8326","Яндекс","20260514"
"Яндекс.Диск","3.2.44.5094","Яндекс",
